List of markets for the selected product Product: 1005 Maize (corn)
"Partners"	"Balance in value in 2001"	"Balance in value in 2002"	"Balance in value in 2003"	"Balance in value in 2004"	"Balance in value in 2005"	"Balance in value in 2006"	"Balance in value in 2007"	"Balance in value in 2008"	"Balance in value in 2009"	"Balance in value in 2010"	"Balance in value in 2011"	"Balance in value in 2012"	"Balance in value in 2013"	"Exported value in 2013"	"Imported value in 2013"	
Italy	-53859	-121289	-218681	-300875	-212903	-300234	-583451	-678658	-468233	-442151	-789473	-771078	-1159637	58128	1217765	
Taipei Chinese	-586120	-590343	-682337	-817768	-717762	-756246	-945325	-1287122	-958315	-1225434	-1385356	-1411276	-1189750	18	1189768	
Spain	-333840	-445178	-557647	-474701	-653565	-695587	-1539062	-1548805	-874810	-889373	-1502632	-1718581	-1574445	99639	1674084	
Mexico	-641076	-618631	-722571	-737707	-699784	-1101129	-1482993	-2367625	-1348839	-1427555	-2947371	-2763427	-1792427	260577	2053004	
Egypt	-552041	-591391	-528348	-363575	-695209	-541581	-937144	-972992	-825373	-1264088	-2178875	-1955874	-1983982	973	1984955	
Korea Republic of	-925468	-983477	-1048352	-1431506	-1212557	-1264414	-1825570	-2819789	-1637799	-1989939	-2497793	-2602813	-2676524	79	2676603	
Japan	-1951920	-1995121	-2401469	-2936492	-2580942	-2585496	-3843047	-5578109	-3769960	-3956286	-5355175	-5126527	-4750376	0	4750376	
French South Antarctic Territories	-10															
Gibraltar	-5	-4	-4			-1	-2	-2	-4555	-1	-133	-40				
Chad			2					-41	-242	-2674						
British Indian Ocean Territories								-270	-1							
United States Minor Outlying Islands		46	28	17		2326	0	8	43		12					
Tokelau		-15	-8	-165	-10					-383		-3				
Tonga	0	0	0					-22	-3	-1	-1	-11				
Anguilla	-7	-9	-6	-1			-3			-1167						
Northern Mariana Islands											-22					
Micronesia (Federated States of)	-3								-4							
Norfolk Island						4		-1								
Wallis and Futuna Islands			-3	-1	-2	-1	-1	-6	-1	-1	-2	-1				
West Asia not elsewhere specified		-119														
Serbia and Montenegro	-20471	36782		28616	109510											
