Date,Open,High,Low,Close,Volume,Adjusted Close
2013-05-16,920.0,921.51,914.8,915.79,0.0,915.79
2013-05-17,916.83,925.03,916.83,925.03,0.0,925.03
2013-05-20,924.02,928.02,922.97,924.45,0.0,924.45
2013-05-21,924.46,929.14,922.65,926.08,0.0,926.08
2013-05-22,926.24,935.54,914.08,917.65,0.0,917.65
2013-05-23,914.07,917.53,906.52,915.08,0.0,915.08
2013-05-24,912.6,914.3,907.27,914.29,0.0,914.29
2013-05-28,917.45,927.91,917.14,920.06,0.0,920.06
2013-05-29,919.93,919.93,908.55,913.36,0.0,913.36
2013-05-30,914.03,920.94,913.73,917.03,0.0,917.03
2013-05-31,915.5,919.6,904.44,904.44,0.0,904.44
2013-06-03,905.24,908.79,899.29,908.79,0.0,908.79
2013-06-04,908.83,912.12,899.56,903.75,0.0,903.75
2013-06-05,902.23,902.36,890.37,891.24,0.0,891.24
2013-06-06,891.25,899.14,885.96,899.14,0.0,899.14
2013-06-07,900.59,911.05,900.59,910.53,0.0,910.53
2013-06-10,911.28,913.38,908.13,910.19,0.0,910.19
2013-06-11,907.27,908.51,898.95,900.81,0.0,900.81
2013-06-12,903.15,907.18,892.26,893.17,0.0,893.17
2013-06-13,892.59,908.14,890.78,906.57,0.0,906.57
2013-06-14,905.91,909.13,900.09,901.68,0.0,901.68
2013-06-17,903.68,912.15,903.64,908.23,0.0,908.23
2013-06-18,908.51,916.59,908.51,915.22,0.0,915.22
2013-06-19,915.24,915.46,902.59,902.59,0.0,902.59
2013-06-20,902.47,902.47,877.76,879.83,0.0,879.83
2013-06-21,879.82,885.62,873.63,881.61,0.0,881.61
2013-06-24,879.29,881.61,863.8,871.0,0.0,871.0
2013-06-25,870.91,882.56,870.91,879.54,0.0,879.54
2013-06-26,879.82,890.02,879.82,887.97,0.0,887.97
2013-06-27,890.41,897.5,890.41,894.15,0.0,894.15
2013-06-28,892.99,895.81,887.58,890.67,0.0,890.67
2013-07-01,893.71,902.31,893.71,896.15,0.0,896.15
2013-07-02,895.69,901.22,891.49,895.48,0.0,895.48
2013-07-03,893.86,898.18,890.35,896.19,0.0,896.19
2013-07-05,898.15,905.38,895.62,905.36,0.0,905.36
2013-07-08,907.25,912.22,907.25,909.79,0.0,909.79
2013-07-09,912.11,917.65,911.78,916.61,0.0,916.61
2013-07-10,916.25,919.48,914.11,916.94,0.0,916.94
2013-07-11,916.85,930.28,916.85,929.45,0.0,929.45
2013-07-12,929.59,932.39,928.1,932.39,0.0,932.39
2013-07-15,932.38,934.82,931.13,933.83,0.0,933.83
2013-07-16,932.9,933.86,927.63,930.01,0.0,930.01
2013-07-17,929.92,934.79,929.92,932.83,0.0,932.83
2013-07-18,932.74,939.67,932.74,937.73,0.0,937.73
2013-07-19,935.72,938.89,934.65,938.88,0.0,938.88
2013-07-22,939.91,941.99,938.2,941.03,0.0,941.03
2013-07-23,941.83,942.9,938.64,939.44,0.0,939.44
2013-07-24,939.43,942.75,933.73,935.52,0.0,935.52
2013-07-25,935.64,939.23,932.99,938.84,0.0,938.84
2013-07-26,936.84,939.51,931.18,939.44,0.0,939.44
2013-07-29,939.39,939.39,934.1,936.03,0.0,936.03
